JMÉNO;PŘÍJMENÍ;SMLOUVA;POZICE;TÝM;VĚK;DRŽENÍ HOLE;NÁRODNOST;Foto;Zdroj
Petr;Kalina;27/28;O;MHK;28;L;CZE;;
Tommi;Kivisto;26/27;O;MHK;34;L;FIN;;
Graeme;Mccormack;26/27;O;MHK;35;P;CAN;;
T.J.;Melancon;26/27;O;MHK;29;P;CAN;;
Dávid;Mudrák;27/28;O;MHK;25;P;SVK;;
Martin;Pláněk;26/27+1;O;MHK;34;P;CZE;;
David;Sýkora;27/28;O;MHK;25;L;CZE;;
Michael;Vukojevič;27/28;O;MHK;24;L;CAN;;
Villiam;Čacho;27/28;C;MHK;27;L;SVK;;
Aleš;Jergl;28/29;RW;MHK;32;P;CZE;;
Kevin;Klíma;27/28;LW/C;MHK;28;L;CZE;;
Martin;Kohout;27/28;LW;MHK;31;L;CZE;;
Robert;Kousal;26/27+1;C/LW;MHK;35;L;CZE;;
Patrik;Miškář;27/28;C;MHK;30;L;CZE;;
Markus;Nenonen;26/27;LW/RW;MHK;33;L;FIN;;
Radovan;Pavlík;28/29;LW/RW;MHK;28;L;CZE;;
Jordann;Perret;27/28;RW;MHK;31;L;FRA;;
Radek;Pilař;26/27+1;F/D;MHK;29;L;CZE;;
Lukáš;Radil;26/27;LW/RW;MHK;35;L;CZE;;
Alex;Tamáši;26/27;C;MHK;28;L;SVK;;
Jan;Vyvial;26/27+1;F;MHK;19;L;CZE;;
Patrik;Zdráhal;27/28;LW/RW;MHK;31;L;CZE;;
Oldřich;Cichoň;26/27;B;OLO;24;P;CZE;;
Matěj;Machovský;27/28;B;OLO;32;L;CZE;;
Tomáš;Černý;27/28;O;OLO;28;P;CZE;;
Trevor;Cosgrove;26/27;O;OLO;28;L;USA;;
Ralfs;Freibergs;26/27+1;O;OLO;35;L;LOT;;
Petr;Gewiese;27/28;O;OLO;33;L;CZE;;
Jiří;Ondrušek;26/27;O;OLO;40;L;CZE;;
Rayen;Petrovický;26/27;O;OLO;24;L;SVK;;
Dalibor;Řezníček;26/27;O;OLO;34;L;CZE;;
Adam;Rutar;27/28;O;OLO;24;P;CZE;;
Evan;Stella;26/27;O;OLO;25;L;SWE;;
Lukáš;Anděl;26/27;C;OLO;28;L;CZE;;
Carl;Berglund;26/27;C/LW;OLO;26;L;SWE;;
Daniel;Herčík;27/28+1;RW/LW;OLO;23;P;CZE;;
Jakub;Kos;26/27;LW/C;OLO;22;L;CZE;;
James Joshua;Mácha;26/27;RW;OLO;24;P;CZE;;
Rok;Macuh;26/27;C/LW;OLO;29;L;SLO;;
Ondřej;Matýs;26//27;LW;OLO;26;L;CZE;;
Jakub;Navrátil;27/28;LW;OLO;26;L;CZE;;
Jakub;Orsava;26/27;LW/RW;OLO;35;P;CZE;;
Karel;Plášek;27/28;LW;OLO;25;L;CZE;;
Martin;Štohanzl;27/28;C;OLO;26;L;CZE;;
Michal;Tomeček;27/28;C/LW;OLO;22;L;CZE;;
David;Vitouch;27/28+1;C/LW;OLO;24;L;CZE;;
Michal;Vitouch;27/28;F;OLO;22;L;CZE;;
Roman;Will;27/28;B;PCE;34;L;CZE;;
Peter;Čerešňák;27/28;O;PCE;33;P;SVK;;
Tomáš;Dvořák;28/29;O;PCE;31;L;CZE;;
Daniel;Gazda;27/28;O;PCE;28;P;CZE;;
Libor;Hájek;27/28;O;PCE;28;L;CZE;;
Michael;Hrádek;26/27;O;PCE;24;P;CZE;;
Jan;Košťálek;26/27;O;PCE;31;P;CZE;;
John;Ludvig;27/28;O;PCE;25;L;CAN;;
Ondřej;Mikliš;26/27;O;PCE;30;L;CZE;;
Miguel;Tourigny;26/27+1;O;PCE;24;P;CAN;;
Roman;Červenka;27/28;LW/RW;PCE;40;L;CZE;;
Hunter;Fejes;26/27+1;LW/RW;PCE;31;L;CAN;;
Martin;Kaut;33/34;RW;PCE;26;P;CZE;;
Miloš;Kelemen;29/30;RW/LW;PCE;26;L;SVK;;
Jáchym;Kondelík;29/30;C;PCE;26;L;CZE;;
Jakub;Lauko;27/28;C/LW;PCE;26;L;CZE;;
Jan;Mandát;27/28;C/LW;PCE;30;L;CZE;;
Patrik;Poulíček;26/27;C;PCE;32;L;CZE;;
Lukáš;Sedlák;29/30;C/LW;PCE;33;L;CZE;;
Jiří;Smejkal;28/29;LW/C;PCE;29;L;CZE;;
Vladimír;Sobotka;26/27;C/LW;PCE;38;L;CZE;;
Matěj;Stránský;29/30;RW/LW;PCE;32;P;CZE;;
David;Tomášek;30/31;C/RW;PCE;30;P;CZE;;
Tomáš;Vondráček;28/29;LW/RW;PCE;35;L;CZE;;
Nick;Malík;27/28;B;PLZ;24;L;CZE;;
Jan;Růžička;26/27;B;PLZ;29;L;CZE;;
Aleš;Čech;27/28+1;O;PLZ;21;L;CZE;;
Jakub;Chromiak;27/28+1;O;PLZ;20;P;SVK;;
Jakub;Jeřábek;26/27;O;PLZ;35;L;CZE;;
Dylan;Macpherson;26/27+1;O;PLZ;28;P;CAN;;
Daniel;Malák;26/27;O;PLZ;23;L;CZE;;
Igor;Merezhko;26/27;O;PLZ;28;P;UKR;;
Carter;Robertson;26/27+1;O;PLZ;26;L;CAN;;
Kristians;Rubins;26/27;O;PLZ;28;L;LOT;;
Matyáš;Filip;26/27;C;PLZ;25;L;CZE;;
Jan;Fodor;J;F;PLZ;17;L;CZE;;
Matěj;Hořejší;26/27;F;PLZ;20;L;CZE;;
Christophe;Lalancette;27/28;C;PLZ;32;P;CAN;;
Jakub;Lev;26/27;C/LW;PLZ;35;P;CZE;;
Adam;Měchura;26/27;C/LW;PLZ;23;L;CZE;;
Mikko Artturi;Petman;26/27;RW;PLZ;25;P;FIN;;
Ville Emil;Petman;26/27;C/LW;PLZ;26;L;FIN;;
Ondřej;Pšenička;26/27+1;RW;PLZ;25;L;CZE;;
Ondřej;Rohlík;27/28+1;LW;PLZ;24;L;CZE;;
Ivo;Sedláček;26/27;RW;PLZ;22;L;CZE;;
Jan;Schleiss;27/28;RW/LW;PLZ;31;P;CZE;;
Dominik;Simon;27/28;C;PLZ;31;L;CZE;;
Lukáš;Strnad;26/27;RW;PLZ;21;P;CZE;;
Michal;Teplý;26/27+1;LW/RW;PLZ;24;P;CZE;;
Adam;Titlbach;27/28;C/LW;PLZ;20;L;CZE;;
Matěj;Tománek;J;F;PLZ;17;L;CZE;;
Josef;Kořenář;26/27;B;SPA;28;L;CZE;;
Jakub;Kovář;26/27;B;SPA;37;L;CZE;;
Aaron;Irving;26/27;O;SPA;30;P;CAN;;
Ronald;Knot;27/28;O;SPA;31;P;CZE;;
Jakub;Krejčík;26/27+1;O;SPA;34;L;CZE;;
Dominik;Mašín;26/27;O;SPA;30;L;CZE;;
David;Němeček;26/27;O;SPA;30;L;CZE;;
Mark;Pysyk;27/28;O;SPA;34;P;CAN;;
Mikael;Sepälä;26/27;O;SPA;32;L;FIN;;
Niko;Sepälä;26/27;O;SPA;27;L;FIN;;
Jakub;Sirota;27/28;O;SPA;27;L;CZE;;
Nino;Tomov;26/27;O;SPA;22;L;BUL;;
Martins;Dzierkals;26/27;LW/RW;SPA;29;L;LOT;;
Roman;Horák;26/27;C;SPA;35;L;CZE;;
Kryštof;Hrabík;27/28;F;SPA;26;L;CZE;;
