JMÉNO;PŘÍJMENÍ;ODKUD;KAM;POZICE;SEZONA
Petr;Sikora;HC Oceláři Třinec ;Washington Capitals;Útočník;2026/27
Zach;Sanyshyn;Žilina;HC Olomouc ;Útočník;2026/27
Petr ;Hauser;HC Vítkovice Ridera ;HC Dynamo Pardubice ;Útočník;2026/27
Adam;Cedzo;HC Oceláři Třinec ;Slovan Bratislava;Útočník;2026/27
Michal;Hrádek;HC Dynamo Pardubice ;HC Olomouc ;Obránce;2026/27
Stanislav;Svozil;Cleveland Monsters;HC Kometa Brno ;Obránce;2026/27
Maxim;Vehovský;Poruba;HC Kometa Brno ;Útočník;2026/27
Jakub;Rychlovský;Grand Rapid Griffins;Bílí Tygři Liberec ;Útočník;2026/27
Filip;Westerlund;Kalpa Kuopio;Rytíři Kladno;Obránce;2026/27
Matúš;Spodniak;Michalovce;HC Olomouc ;Útočník;2026/27
Adam;Rulík;HC Energie Karlovy Vary ;Rytíři Kladno;Obránce;2026/27
Dominik;Pavlík;Moose Jaw Warriors;Mountfield HK ;Útočník;2026/27
Antoine;Morand;Lukko Rauma;BK Mladá Boleslav ;Útočník;2026/27
Daniel;Brickley;Tappara ;HC Energie Karlovy Vary ;Obránce;2026/27
Petr ;Šenkeřík;HC Litvínov ;Berani Zlín;Obránce;2026/27
Michal;Plutnar;HC Litvínov ;HC Dukla Jihlava;Obránce;2026/27
Bohumil ;Jank;HC Oceláři Třinec ;HK Poprad;Obránce;2026/27
David;Kämpf;Buffalo Sabres;HC Litvínov;Útočník;2026/27
Tommi;Kivistö;Mountfield HK;-;Obránce;2026/27
Anders;Koch;Graz99ers;Mountfield HK ;Obránce;2026/27
Libor;Hájek;HC Dynamo Pardubice ;San Jose Sharks;Obránce;2026/27
Aliaksandr;Vishneuski;Rytíři Kladno;MSK Žiar nad Hronom;Obránce;2026/27
Matěj ;Blümel;Boston Bruins;HC Sparta Praha ;Útočník;2026/27
Lucas;Nordsäter;IF Björklöven;Banes Motor České Budějovice ;Obránce;2026/27
Parker;Bell;Calgary Wranglers;Banes Motor České Budějovice ;Útočník;2026/27
Renars;Krastenbergs;HC Olomouc ;Banes Motor České Budějovice ;Útočník;2026/27
Marek;Hejduk;Trenton Ironhawks;Banes Motor České Budějovice ;Útočník;2026/27
